model_name,task,split,weights,device,scaler_used,n_images,total_MAE,total_MSE,total_RMSE,source,MAE_lat,MAE_lon,MAE_alt,pos_error_mean,pos_error_median,pos_error_rmse,pos_error_p90,pos_error_p95,pos_error_p99,pos_error_min,pos_error_max,family,outputs,mae_lat,mae_lon,mae_total,fps_linq,latency_ms,notes
ResNeXt50_32x4d,"3D regression (lat,lon,alt)",test,drone_localization_pack/weights/best_geo_model_new.pth,cuda,True,2565.0,1.453986644744873,7.687861919403076,2.2858059406280518,drone_localization_pack/results/resnext50_3d/metrics_test.json,2.2210288047790527,2.0793285369873047,0.061602793633937836,3.4171555042266846,1.4816421270370483,4.801847457885742,8.544882774353027,10.451385498046875,13.119894981384277,0.2392226904630661,18.79494285583496,ResNeXt,"lat, lon, alt",,,,,,
ResNet18,"2D regression (lat,lon)",test,,,,2565.0,1.8532462973862363,9.828332773715783,3.131522600081781,drone_localization_pack/results/resnet18_2d/metrics_test.json,1.9744641941576406,1.7320284006148319,,2.94860600438635,1.4600064168810363,4.43358382369797,8.24130133100277,9.450697669471486,11.346487235264936,0.005258597146502006,14.632770065308723,ResNet,"lat, lon",,,,,,
ResNet34,"7D regression (lat,lon,alt,x,y,z,w)",test,,,,2565.0,0.670418538628514,3.096249348730424,1.1080333345435214,drone_localization_pack/results/resnet34_7d/metrics_test.json,2.2057677126729938,1.598278189019989,0.06446691150739645,3.0432419664284787,1.6621146122936332,4.599785605547957,8.270613001799127,9.785525846876531,,,,ResNet,"lat, lon, alt, x, y, z, w",,,,,,
YOLO11l-obb,detector-baseline (OBB) -> derived localization metrics,,,,,2484.0,,,,experiment log (no pipeline code preserved in this pack),,,,,,,,,,,,YOLO,"lat, lon (as reported)",4.74642235,0.26562468,2.50602352,20.0,,Model ran on LinQ H without runtime issues; only aggregated metrics are available.
ResNet34 (LinQ FPS only),fps benchmark,,,,,,,,,experiment log,,,,,,,,,,,,ResNet,—,,,,443.0,,FPS measured on LinQ H (from notes).
ResNet50 (LinQ FPS only),fps benchmark,,,,,,,,,experiment log,,,,,,,,,,,,ResNet,—,,,,430.0,,FPS measured on LinQ H (from notes). Note: in code we also use ResNeXt50.
MobileNetV2 (LinQ FPS only),fps benchmark,,,,,,,,,experiment log,,,,,,,,,,,,MobileNet,—,,,,142.0,,FPS measured on LinQ H (from notes).
